Call Sign,File Number,File Purpose,Application Status,Party in Interest,Lease ID,Commenced,Expires,Comment,OA Status
WQCM439,0009201914,New Lease,Granted,Sprint,L000043646,05/29/2021,04/06/2025,Lease Granted,2051 Expire
WNC492,0009413340,New Lease,Granted,Sprint,L000043648,05/29/2021,11/23/2024,Lease Granted,2051 Expire
WND331,0009413340,New Lease,Granted,Sprint,L000043649,05/29/2021,09/27/2026,Lease Granted,2051 Expire
WQCI690,0009413340,New Lease,Granted,Sprint,L000043650,05/29/2021,03/14/2025,Lease Granted,2051 Expire
WQCK957,0009413340,New Lease,Granted,Sprint,L000043651,05/29/2021,03/29/2025,Lease Granted,2051 Expire
WQCL437,0009413340,New Lease,Granted,Sprint,L000043652,05/29/2021,03/31/2025,Lease Granted,2051 Expire
WQCQ857,0009413340,New Lease,Granted,Sprint,L000043653,05/29/2021,05/04/2025,Lease Granted,2051 Expire
WND297,0009413359,Assignment of Authorization,Consented To,Sprint,n/a,11/21/2019,04/15/2028,Sprint Owned,
WNC539,0009421583,New Lease,Granted,Sprint,L000043672,06/02/2021,03/26/2022,Lease Granted,2051 Expire
WNC587,0009423636,New Lease,Granted,"M/CP VIII, LLC",L000043519,05/18/2021,04/20/2025,Lease Granted,2051 Expire
KLC80,0009431878,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
KTZ22,0009431878,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX358,0009434841,New Lease,Granted,Sprint,L000043092,03/10/2021,09/25/2021,Lease Granted,2051 Expire
WNC845,0009436339,New Lease,Granted,Sprint,L000043244,03/24/2021,03/01/2022,Lease Granted,2051 Expire
WLX863,0009437215,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WHR490,0009438528,New Lease,Granted,Sprint,L000043664,06/02/2021,03/03/2025,Lease Granted,2051 Expire
WHR944,0009438528,New Lease,Granted,Sprint,L000043665,06/02/2021,08/13/2028,Lease Granted,2051 Expire
WND320,0009438690,New Lease,Granted,Sprint,L000043667,06/02/2021,05/28/2027,Lease Granted,2051 Expire
WHR816,0009439012,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WHR817,0009439012,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WHR822,0009439457,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WHR520,0009439602,New Lease,Granted,Sprint,L000043666,06/02/2021,02/04/2030,Lease Granted,2051 Expire
KHU90,0009440173,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
KZB28,0009440176,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
KZB29,0009440180,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
KZB30,0009440184,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WQIZ681,0009440188,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WND301,0009440235,New Lease,Granted,Sprint,L000043673,06/02/2021,04/09/2028,Lease Granted,2051 Expire
WLX799,0009441697,New Lease,Granted,Sprint,L000043658,05/29/2021,02/05/2023,Lease Granted,2051 Expire
WLX653,0009444894,New Lease,Granted,Sprint,L000043093,03/10/2021,03/08/2022,Lease Granted,2051 Expire
WLX368,0009445215,New Lease,Granted,"Rhino Communications, Inc.",L000043100,03/12/2021,10/09/2021,Lease Granted,2051 Expire
WNC747,0009447610,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WHR833,0009448600,New Lease,Granted,Sprint,L000043103,03/16/2021,03/01/2022,Lease Granted,2051 Expire
WOG94,0009448600,New Lease,Granted,Sprint,L000043104,03/16/2021,03/01/2022,Lease Granted,2051 Expire
WLX653,0009449285,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC747,0009449680,Assignment of Authorization,Pending,Sprint,n/a,05/24/2016,04/25/2026,Sprint Owned,
WNC387,0009449928,Assignment of Authorization,Consented To,Berkshire Local School District,n/a,10/14/2014,08/16/2024,Assignment Consented To,
WND544,0009450583,Assignment of Authorization,Consented To,Sprint,n/a,05/05/2020,05/22/2030,Sprint Owned,
WLX863,0009450940,New Lease,Granted,Sprint,L000043102,03/16/2021,03/11/2022,Lease Granted,2051 Expire
WLX765,0009453603,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC562,0009453616,New Lease,Granted,Sprint,L000043106,03/16/2021,03/14/2022,Lease Granted,2051 Expire
WNC581,0009453616,New Lease,Granted,Sprint,L000043105,03/16/2021,03/14/2022,Lease Granted,2051 Expire
WNC758,0009453616,New Lease,Granted,Sprint,L000043107,03/16/2021,03/14/2022,Lease Granted,2051 Expire
WNC598,0009453681,New Lease,Granted,Sprint,L000043202,03/17/2021,03/15/2022,Lease Granted,2051 Expire
WNC972,0009453681,New Lease,Granted,Sprint,L000043201,03/17/2021,03/15/2022,Lease Granted,2051 Expire
WND421,0009454948,New Lease,Granted,Sprint,L000043231,03/19/2021,03/15/2022,Lease Granted,2051 Expire
WLX400,0009454965,New Lease,Granted,Sprint,L000043203,03/17/2021,01/14/2022,Lease Granted,2051 Expire
WLX338,0009455002,New Lease,Granted,Sprint,L000043211,03/18/2021,09/04/2021,Lease Granted,2051 Expire
WNC562,0009457560,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC581,0009457560,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC758,0009457560,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WND484,0009457908,New Lease,Granted,Sprint,L000043212,03/18/2021,03/15/2022,Lease Granted,2051 Expire
WLW984,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/06/2021,05/01/2031,Sprint Owned,
WLW986,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/06/2021,05/01/2031,Sprint Owned,
WMX661,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/06/2021,05/01/2031,Sprint Owned,
WMX662,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/06/2021,05/01/2031,Sprint Owned,
WMX714,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WMX715,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WMY208,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WMY447,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WNEZ913,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WNTA554,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WNTC633,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WNTC634,0009458660,Assignment of Authorization,Pending,Sprint,n/a,05/11/2021,05/01/2031,Sprint Owned,
WQCP981,0009460106,New Lease,Granted,Sprint,L000043327,03/26/2021,03/17/2022,Lease Granted,2051 Expire
WLX651,0009460626,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX930,0009460626,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WQCN537,0009461285,New Lease,Granted,Sprint,L000043242,03/20/2021,03/18/2022,Lease Granted,2051 Expire
WLX359,0009463582,New Lease,Granted,Sprint,L000043247,03/24/2021,03/21/2022,Lease Granted,2051 Expire
WNC804,0009463972,New Lease,Granted,Sprint,L000043669,06/02/2021,02/20/2028,Lease Granted,2051 Expire
WLX428,0009464458,New Lease,Granted,Sprint,L000043243,03/23/2021,02/19/2022,Lease Granted,2051 Expire
WHR912,0009465569,New Lease,Granted,Sprint,L000043668,06/02/2021,06/02/2028,Lease Granted,2051 Expire
WLX942,0009466262,New Lease,Granted,Sprint,L000043246,03/24/2021,03/22/2022,Lease Granted,2051 Expire
WQCN537,0009467982,Assignment of Authorization,Consented To,WS Educational Broadband,n/a,06/02/2015,04/15/2025,Assignment Consented To,
WQCP981,0009468703,New Lease,Granted,Sprint,L000043257,03/26/2021,03/24/2022,Lease Granted,2051 Expire
WNC847,0009470204,New Lease,Granted,Sprint,L000043670,06/02/2021,09/18/2022,Lease Granted,2051 Expire
WLX765,0009470253,New Lease,Granted,Sprint,L000043258,03/26/2021,07/31/2021,Lease Granted,2051 Expire
WNC771,0009472839,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC759,0009472978,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WND421,0009476345,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC598,0009476718,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC972,0009476718,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC421,0009480367,New Lease,Granted,Sprint,L000043671,06/02/2021,09/06/2024,Lease Granted,2051 Expire
WNC397,0009485204,New Lease,Granted,Sprint,L000043682,06/03/2021,09/06/2024,Lease Granted,2051 Expire
WLX359,0009486328,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX313,0009490114,New Lease,Granted,"Skybeam, LLC",L000043335,04/17/2021,09/04/2021,Lease Granted,2051 Expire
WLX432,0009500070,New Lease,Granted,"Skybeam, LLC",L000043336,04/23/2021,02/25/2022,Lease Granted,2051 Expire
WQCP981,0009504397,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC817,0009505307,New Lease,Granted,AWI Network Holdings LLC,L000043340,04/27/2021,10/07/2026,Lease Granted,2051 Expire
WNC818,0009505376,New Lease,Granted,AWI Network Holdings LLC,L000043339,04/27/2021,10/07/2026,Lease Granted,2051 Expire
WNC746,0009505383,New Lease,Granted,AWI Network Holdings LLC,L000043338,04/27/2021,05/03/2026,Lease Granted,2051 Expire
WNC742,0009505429,New Lease,Granted,AWI Network Holdings LLC,L000043337,04/27/2021,05/02/2026,Lease Granted,2051 Expire
WND454,0009526250,New Lease,Granted,Casair Spectrum Holdings LLC,L000043521,05/21/2021,08/27/2028,Lease Granted,2051 Expire
WLX731,0009526338,Assignment of Authorization,Pending,Sprint,n/a,03/04/2021,10/29/2022,Sprint Owned,
WNC867,0009527182,Assignment of Authorization,Pending,Sprint,n/a,06/19/2019,10/31/2027,Sprint Owned,
WNC943,0009527591,Assignment of Authorization,Pending,Sprint,n/a,06/19/2019,10/03/2027,Sprint Owned,
WND467,0009529087,Assignment of Authorization,Pending,Sprint,n/a,06/19/2019,08/24/2028,Sprint Owned,
WLX942,0009531648,Assignment of Authorization,Pending,Sprint,n/a,08/21/2013,08/20/2023,Sprint Owned,
WHG355,0009538933,New Lease,Granted,Sprint,L000043506,05/07/2021,05/05/2022,Lease Granted,2051 Expire
WHR791,0009539741,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX251,0009539868,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WQCN528,0009545084,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX607,0009546552,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX692,0009546566,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX869,0009547211,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX602,0009549685,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX798,0009551721,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC935,0009554693,New Lease,Granted,AWI Network Holdings LLC,L000043518,05/18/2021,10/03/2027,Lease Granted,2051 Expire
WLX318,0009560842,New Lease,Granted,"JAB Wireless, Inc.",L000043637,05/29/2021,08/22/2030,Lease Granted,2051 Expire
WQCN528,0009562597,New Lease,Granted,Sprint,L000043600,05/26/2021,05/24/2022,Lease Granted,2051 Expire
WHG269,0009566027,Assignment of Authorization,Pending,Sprint,n/a,11/15/2018,10/29/2028,Sprint Owned,
WNC226,0009566664,Assignment of Authorization,Pending,Sprint,n/a,06/24/2013,05/27/2023,Sprint Owned,
